"","identified_tissue","Freq","single_cell_cluster"
"8.5","embryonic/larval visceral muscle",4,"8.5"
"8.6","embryonic midgut",134,"8.6"
"8.7","embryonic midgut chamber",3,"8.7"
"8.8","yolk nuclei",1,"8.8"
"9.1","embryonic brain",2,"9.1"
"9.2","embryonic central brain",1,"9.2"
"9.3","embryonic central nervous system",1,"9.3"
"9.4","embryonic dorsal epidermis",14,"9.4"
"9.5","embryonic foregut",19,"9.5"
"9.6","embryonic hindgut",21,"9.6"
"9.7","embryonic/larval circulatory system",3,"9.7"
"9.8","embryonic/larval dorsal vessel",8,"9.8"
"9.9","embryonic/larval garland cell",45,"9.9"
"9.10","embryonic/larval muscle system",1,"9.10"
"9.11","embryonic/larval somatic muscle",2,"9.11"
"9.12","embryonic/larval tracheal system",1,"9.12"
"9.13","embryonic/larval visceral muscle",1,"9.13"
"9.14","embryonic midgut",1,"9.14"
"9.15","embryonic salivary gland",3,"9.15"
"9.16","embryonic salivary gland body",2,"9.16"
"9.17","embryonic small intestine",1,"9.17"
"9.18","lateral cord",1,"9.18"
"9.19","lateral cord surface glia",6,"9.19"
"9.20","ventral midline",1,"9.20"
"9.21","ventral midline neuron",1,"9.21"
"9.22","ventral nerve cord",4,"9.22"
"10.1","apoptotic amnioserosa",1,"10.1"
"10.2","embryonic central brain surface glia",1,"10.2"
"10.3","embryonic corpus allatum",1,"10.3"
"10.4","embryonic/larval circulatory system",14,"10.4"
"10.5","embryonic/larval dorsal vessel",36,"10.5"
"10.6","embryonic/larval muscle system",9,"10.6"
"10.7","embryonic/larval pericardial cell",5,"10.7"
"10.8","embryonic/larval somatic muscle",1,"10.8"
"10.9","embryonic/larval visceral muscle",4,"10.9"
"10.10","embryonic midgut",12,"10.10"
"10.11","embryonic salivary gland",1,"10.11"
"10.12","gonad",18,"10.12"
"10.13","ring gland",20,"10.13"
"10.14","ventral nerve cord",2,"10.14"
"11.1","embryonic dorsal epidermis",75,"11.1"
"11.2","embryonic esophagus",1,"11.2"
"11.3","embryonic head epidermis",1,"11.3"
"11.4","embryonic hypopharynx",1,"11.4"
"11.5","embryonic/larval oenocyte",1,"11.5"
"11.6","embryonic ventral epidermis",38,"11.6"
"12.1","dorsal/lateral sensory complexes",4,"12.1"
"12.2","embryonic antennal sense organ",9,"12.2"
"12.3","embryonic brain",3,"12.3"
"12.4","embryonic dorsal epidermis",3,"12.4"
"12.5","embryonic foregut",1,"12.5"
"12.6","embryonic head epidermis",2,"12.6"
"12.7","embryonic hypopharynx",2,"12.7"
"12.8","embryonic labial sensory complex",1,"12.8"
"12.9","embryonic/larval dorsal vessel",3,"12.9"
"12.10","embryonic/larval garland cell",5,"12.10"
"12.11","embryonic maxillary sensory complex",6,"12.11"
"12.12","embryonic optic lobe",1,"12.12"
"12.13","embryonic salivary gland",1,"12.13"
"12.14","embryonic salivary gland body",1,"12.14"
"12.15","labral sensory complex",8,"12.15"
"12.16","lateral cord surface glia",2,"12.16"
"12.17","longitudinal visceral muscle fibers",1,"12.17"
"12.18","sensory system head",14,"12.18"
"12.19","ventral nerve cord",26,"12.19"
"12.20","ventral sensory complex primordium",2,"12.20"
"13.1","dorsal/lateral sensory complexes",50,"13.1"
"13.2","dorsal prothoracic pharyngeal muscle",1,"13.2"
"13.3","embryonic/larval dorsal vessel",6,"13.3"
"13.4","embryonic/larval garland cell",1,"13.4"
"13.5","sensory nervous system primordium",23,"13.5"
"13.6","ventral nerve cord",1,"13.6"
"13.7","ventral sensory complex primordium",2,"13.7"
"14.1","apoptotic amnioserosa",3,"14.1"
"14.2","embryonic gastric caecum",1,"14.2"
"14.3","embryonic/larval fat body",11,"14.3"
"14.4","embryonic/larval garland cell",1,"14.4"
"14.5","embryonic/larval somatic muscle",2,"14.5"
"14.6","embryonic midgut",3,"14.6"
"14.7","embryonic salivary gland",4,"14.7"
"14.8","plasmatocytes",39,"14.8"
"14.9","yolk nuclei",6,"14.9"
"15","crystal cell",68,"15"
"16.1","embryonic Malpighian tubule",56,"16.1"
"16.2","embryonic midgut",2,"16.2"
"17.1","dorsal prothoracic pharyngeal muscle",6,"17.1"
"17.2","embryonic gastric caecum",44,"17.2"
"17.3","embryonic/larval muscle system",1,"17.3"
"17.4","embryonic midgut",5,"17.4"
