"","test_type","pvalue","enrichment","element","group_name"
"75","Enrichment",2.21092205365101e-21,2.80626439806681,"GAGA","6
(247)"
"76","Enrichment",1.51640703816119e-29,2.86014434672294,"Inr","6
(247)"
"77","Enrichment",0.00112041657175303,3.50014210197238,"MTE","6
(247)"
"78","Enrichment",1.52928010378228e-07,3.53913796399375,"PB","6
(247)"
"79","Depletion",0.0775413167938911,0.618669185094391,"TATA","6
(247)"
"80","Depletion",0.38975600150611,0.712720706956718,"Motif1","6
(247)"
"81","Depletion",0.0732537392626224,0.546838680457963,"Motif6","6
(247)"
"82","Depletion",0.0304845958580702,0.650884295878882,"Motif7","6
(247)"
"83","Depletion",0.252821304643678,0.858607435051738,"BREd","6
(247)"
"84","Depletion",0.695109476235768,0.901271158532569,"BREu","6
(247)"
"85","Depletion",0.0504951870737119,0.394579008073818,"DPE","housekeeping
(647)"
"86","Enrichment",3.27536790915698e-17,1.87351229768715,"DRE","housekeeping
(647)"
"87","Depletion",1.36756482456931e-06,0.552540620861195,"GAGA","housekeeping
(647)"
"88","Depletion",4.7877216767779e-07,0.587634089991669,"Inr","housekeeping
(647)"
"89","Depletion",0.0382489415834936,0.306294207180589,"MTE","housekeeping
(647)"
"90","Depletion",0.00593511357305831,0.424163522680978,"PB","housekeeping
(647)"
"91","Depletion",5.22359854948509e-08,0.270695848961053,"TATA","housekeeping
(647)"
"92","Enrichment",0.0110367830948903,1.77753165422375,"Motif1","housekeeping
(647)"
"93","Enrichment",4.48306335019164e-07,2.009840640376,"Motif6","housekeeping
(647)"
"94","Enrichment",9.48008913467779e-07,1.58310525828673,"Motif7","housekeeping
(647)"
"95","Enrichment",0.0231653576406864,1.23484291810084,"BREd","housekeeping
(647)"
"96","Enrichment",0.310878537412971,1.41964934121797,"BREu","housekeeping
(647)"
"97","Enrichment",3.82662007081648e-09,3.28331269349845,"DPE","Bjoern_developmental_paused
(772)"
"98","Depletion",4.11447178544921e-09,0.538810867567922,"DRE","Bjoern_developmental_paused
(772)"
"99","Enrichment",2.44663539977174e-30,2.14560247405994,"GAGA","Bjoern_developmental_paused
(772)"
"100","Enrichment",2.53850554072234e-50,2.31079373861724,"Inr","Bjoern_developmental_paused
(772)"
"101","Enrichment",4.31586153659068e-07,3.08309300648882,"MTE","Bjoern_developmental_paused
(772)"
"102","Enrichment",3.80650121927684e-26,3.85478533732706,"PB","Bjoern_developmental_paused
(772)"
"103","Depletion",0.0918313199665917,0.806531158404486,"TATA","Bjoern_developmental_paused
(772)"
"104","Enrichment",0.0735986598516055,1.43138075313808,"Motif1","Bjoern_developmental_paused
(772)"
"105","Enrichment",0.00023950660075323,1.61845062093436,"Motif6","Bjoern_developmental_paused
(772)"
"106","Depletion",0.0190727298119094,0.789172019732406,"Motif7","Bjoern_developmental_paused
(772)"
"107","Depletion",0.459275878949218,0.982535727879858,"BREd","Bjoern_developmental_paused
(772)"
"108","Enrichment",0.00231453969306095,2.85797827903091,"BREu","Bjoern_developmental_paused
(772)"
