"","fb_gene_id","log2FoldChange","pvalue","padj","wt_2to4h","wt_14to17h"
"1","FBgn0000003",-3.2119088468602,7.20784695190925e-10,1.25589806743517e-09,14.1345704098668,117.197639586734
"2","FBgn0000008",-2.06992816569918,3.64029524780556e-67,1.52522816441947e-66,0.73241555016598,2.91930583213863
"3","FBgn0000014",-0.959891866915057,3.92353347869596e-47,1.29206952357702e-46,8.27167870219625,15.1567238531284
"4","FBgn0000015",-0.426279535712974,2.58006117806355e-08,4.32199595982748e-08,2.76681557947666,3.49310446393203
"5","FBgn0000017",0.704266684115251,3.09225842479597e-17,6.39177157609462e-17,17.0268793238587,9.8250875748214
"6","FBgn0000018",0.971091869542424,1.27582602875723e-08,2.15719595791882e-08,8.65409607134828,4.15170040211077
"7","FBgn0000022",11.6315100891844,1.43159103735995e-29,3.66322202850124e-29,61.5014859559963,0
"8","FBgn0000024",-7.50366210986543,0,0,0.0522545377820953,9.16883881590553
"9","FBgn0000028",-1.59530892874685,8.59689089049076e-22,1.94263340758534e-21,0.27022898209036,0.765536533511201
"10","FBgn0000032",-1.06111344499244,2.34488894739918e-22,5.34354760292258e-22,32.48533403914,63.6339755678932
"11","FBgn0000036",-7.232262297806,2.5377193067224e-80,1.24053728109172e-79,0.0339237797994405,4.99231307420339
"12","FBgn0000037",-6.95271898530539,1.19901643780421e-187,1.60007062760807e-186,0.12467480255375,14.4498060614504
"13","FBgn0000038",-7.12551729790326,1.23541583805471e-277,3.51404437282533e-276,0.332125372558742,45.9765188565511
"14","FBgn0000039",-6.11311958187037,1.08602357976031e-158,1.14614417556522e-157,0.253419799819707,16.7405970916188
"15","FBgn0000042",0.71739868932069,3.92958433065395e-23,9.05885286687243e-23,2212.43045740779,1262.79370249445
"16","FBgn0000043",0.597048063018024,2.22676890888244e-14,4.32481409819536e-14,763.739952390275,473.84572863505
"17","FBgn0000044",-7.16124291643666,1.12641593115531e-120,8.25248490557553e-120,107.973236809472,14412.0973548871
"18","FBgn0000045",-2.70398738203833,7.92617685689682e-14,1.52141254657386e-13,0.668443915393281,4.00837768831092
"19","FBgn0000046",-4.59922862208979,4.01021903182175e-203,6.18379239258994e-202,72.6447573113673,1648.20503936585
"20","FBgn0000047",-1.82131051104767,0.00133332928232437,0.00189363525187087,0.320943492079513,1.04847801830451
"21","FBgn0000052",-0.426849985951956,0.00433187720756395,0.00596191562860778,11.7477302749561,14.8817654007579
"22","FBgn0000053",-0.297574968902185,0.00621862548580592,0.00849021467912096,8.16150275368694,9.45875339711425
"23","FBgn0000055",-6.48000345971184,1.05235173855425e-263,2.68330901336003e-262,3.35865425276631,287.530943505562
"24","FBgn0000056",-6.48000345971184,1.05235173855425e-263,2.68330901336003e-262,3.35865425276631,287.530943505562
"25","FBgn0000057",0.0824517444460803,0.543232171290768,0.604019013694197,20.3504462374863,18.1890594728203
"26","FBgn0000061",-4.15384881897006,3.97012692212689e-135,3.30358055483973e-134,0.546723299901614,9.25871851965808
"27","FBgn0000063",3.58094216635537,1.08218079949563e-101,6.59515989585917e-101,18.4872182851208,1.45880976231253
"28","FBgn0000064",-2.88411877160875,0,0,74.3298326383523,515.268785042016
"29","FBgn0000071",5.59208607227654,1.62962106955345e-219,2.84814678728932e-218,523.783441308329,10.287470403495
"30","FBgn0000075",-2.92645429722058,6.08897834295468e-40,1.82464893513221e-39,6.17642204132176,44.5611794346891
"31","FBgn0000077",1.10278314574528,7.48806288454287e-18,1.56777199308486e-17,23.6442214890172,10.3524249500394
"32","FBgn0000078",-2.85794200957166,0.00657613327373288,0.00896254720011758,0.0709477472499077,0.54155501424111
"33","FBgn0000079",-4.99645514384013,9.95721161029989e-10,1.73051393115229e-09,0.0652267009922097,2.38334963680475
"34","FBgn0000083",-2.06555117805604,0,0,35.6982273814863,140.669706723486
"35","FBgn0000084",-2.04403560505535,3.1980446108039e-22,7.27263561039479e-22,3.66066502825935,14.1889362226853
"36","FBgn0000092",0.605925315945098,0.173978313014963,0.211136863126011,2.95669640262568,1.83766734936339
"37","FBgn0000094",NA,NA,NA,0,0
"38","FBgn0000097",1.47357055840932,4.80034871528298e-120,3.48293594032143e-119,34.9179513213742,11.8321461607742
"39","FBgn0000100",-0.700011571876254,7.26009475807343e-44,2.2945306120082e-43,1513.47892479249,2309.49736715894
"40","FBgn0000108",-6.02382455553967,0,0,0.415352028393337,25.8938057350105
"41","FBgn0000109",0.499033554132385,0.00287243463499216,0.00399800118462356,38.585376779983,25.8015940723546
"42","FBgn0000114",-0.469968504612231,0.0084100445184714,0.0113880536443104,0.566909466091975,0.735932948672873
"43","FBgn0000115",0.748321900038294,1.77078730244209e-12,3.29189843660598e-12,116.023711878624,64.7070816374416
"44","FBgn0000116",-2.75866039540161,1.21817198558997e-124,9.21795324972932e-124,9.86914580716385,62.7872241122639
"45","FBgn0000117",1.63314788930274,6.3215975905823e-144,5.80116272467382e-143,491.524603575012,149.012578254259
"46","FBgn0000119",1.08346405225607,5.54770834573847e-40,1.66524547968887e-39,14.2899839460955,6.35895986135331
"47","FBgn0000120",-6.9850009713068,2.9864692566378e-35,8.35988914242916e-35,0.0795000029117298,8.71349887489827
"48","FBgn0000121",NA,NA,NA,0,0
"49","FBgn0000137",1.86453416678722,6.27182680035734e-20,1.3729175974598e-19,15.6908458208474,4.04066055499721
"50","FBgn0000139",2.41821556876258,2.2361350091059e-106,1.42862513624265e-105,76.5520378567477,13.495135671882
"51","FBgn0000140",4.22720563227088,4.47065263222537e-280,1.29485697638024e-278,114.602130618193,5.77730473954877
"52","FBgn0000146",2.61944219226228,3.39917262765592e-77,1.595030757486e-76,49.2097419450429,7.55247310828919
