"","fb_tx_id","fb_gene_id","fb_symbol","late.tss","late.tu","PI"
"1","FBtr0071763","FBgn0000008","a",5.70055459415109,1.25492402212262,4.44563057202848
"2","FBtr0112790","FBgn0000017","Abl",5.02733961634675,1.45937590503248,3.56796371131426
"3","FBtr0080168","FBgn0000018","abo",2.08670149601168,0.791497475499649,1.29520402051203
"4","FBtr0072367","FBgn0000037","mAChR-A",3.07882882541102,0.269333536754395,2.80949528865662
"5","FBtr0073300","FBgn0000038","nAChRbeta1",0.979733979941348,-0.378810414375158,1.35854439431651
"6","FBtr0084639","FBgn0000039","nAChRalpha2",2.68554518959004,0.260884561736279,2.42466062785376
"7","FBtr0079220","FBgn0000052","Pfas",3.31097359358072,1.27109255835983,2.03988103522089
"8","FBtr0100353","FBgn0000053","Gart",4.12483258063271,1.08642333272953,3.03840924790318
"9","FBtr0086744","FBgn0000057","adp",0.897937430611006,-0.697123272217252,1.59506070282826
"10","FBtr0081154","FBgn0000075","amd",2.7128915432936,-0.0119722954063509,2.72486383869995
"11","FBtr0307294","FBgn0000108","Appl",3.52108402851228,0.969384073706182,2.5516999548061
"12","FBtr0087702","FBgn0000119","arr",6.09737616359116,1.52143214844651,4.57594401514465
"13","FBtr0072379","FBgn0000157","Dll",4.40497771191532,0.309813541229232,4.09516417068609
"14","FBtr0111000","FBgn0000163","baz",4.17472738154975,0.705945734218532,3.46878164733122
"15","FBtr0308914","FBgn0000179","bi",3.38614309445801,-0.291940554484662,3.67808364894268
"16","FBtr0079929","FBgn0000180","bib",3.96447141974532,0.908583584061159,3.05588783568416
"17","FBtr0087783","FBgn0000181","bic",3.59350459226511,1.0585838093776,2.53492078288751
"18","FBtr0081002","FBgn0000183","BicD",4.57836975836086,1.9811151108236,2.59725464753725
"19","FBtr0080087","FBgn0000229","bsk",2.21650612251719,0.318838672129994,1.8976674503872
"20","FBtr0071379","FBgn0000233","btd",1.53893491064261,-2.17510863622807,3.71404354687068
"21","FBtr0082119","FBgn0000244","by",5.64945074130385,2.20495986428179,3.44449087702207
"22","FBtr0346613","FBgn0000247","ca",1.91505114769462,-0.562130399426097,2.47718154712072
"23","FBtr0081412","FBgn0000251","cad",3.00099967878761,-0.30048302007531,3.30148269886292
"24","FBtr0304963","FBgn0000253","Cam",5.74305198212295,2.24697628899273,3.49607569313023
"25","FBtr0307896","FBgn0000259","CkIIbeta",2.37950399208224,1.51381947890057,0.865684513181675
"26","FBtr0075058","FBgn0000261","Cat",3.29291909492246,1.71051718506145,1.582401909861
"27","FBtr0079851","FBgn0000273","Pka-C1",5.70468758448636,2.2179403136904,3.48674727079596
"28","FBtr0089647","FBgn0000286","Cf2",0.718483150461045,0.697430166314264,0.0210529841467811
"29","FBtr0343686","FBgn0000317","ck",3.66548302564188,0.967378765499537,2.69810426014234
"30","FBtr0074179","FBgn0000319","Chc",2.88317318020926,1.22323363049288,1.65993954971637
"31","FBtr0079335","FBgn0000320","eya",3.55799965697857,-0.260461732266507,3.81846138924508
"32","FBtr0073754","FBgn0000346","comt",-1.1585304080586,-1.84319421755969,0.684663809501091
"33","FBtr0070379","FBgn0000382","csw",2.06792238324037,2.86276624170598,-0.794843858465616
"34","FBtr0340465","FBgn0000394","cv",1.94503681029419,1.2070685322708,0.737968278023392
"35","FBtr0071610","FBgn0000395","cv-2",6.13825172855399,2.01319813059521,4.12505359795878
"36","FBtr0081166","FBgn0000422","Ddc",4.02107936282337,2.12655075982703,1.89452860299634
"37","FBtr0078042","FBgn0000442","Pkg21D",2.32666504749675,-0.180271702658372,2.50693675015512
"38","FBtr0076305","FBgn0000451","ect",4.59222717533134,1.29092856882333,3.30129860650801
"39","FBtr0345229","FBgn0000454","Dip-B",1.72515332204043,-1.54209272248316,3.26724604452359
"40","FBtr0074250","FBgn0000459","disco",3.23976846106621,-0.089028998561949,3.32879745962815
"41","FBtr0083740","FBgn0000463","Dl",5.06370813301643,0.897727509813364,4.16598062320307
"42","FBtr0333313","FBgn0000479","dnc",5.22929016363615,-0.186998022154254,5.41628818579041
"43","FBtr0070269","FBgn0000482","dor",2.00611253749251,0.448129446900747,1.55798309059176
"44","FBtr0077773","FBgn0000490","dpp",4.69715421063882,1.27746081218204,3.41969339845678
"45","FBtr0085441","FBgn0000492","Dr",3.59690555934616,0.142644364905394,3.45426119444077
"46","FBtr0070914","FBgn0000524","dx",1.87767519413577,0.633748184290669,1.2439270098451
