fb_gene_id,fb_symbol, early_FPKM , late_FPKM , epidermis_FPKM , glia_FPKM , gut_FPKM , muscle_FPKM , neuron_FPKM , trachea_FPKM ,polii.embryo14,polii.embryo17,polii.larvae,polii.epidermis,polii.glia,polii.gut,polii.muscle,polii.neuron,polii.trachea,min_tissue_tss_ratio,max_tissue_tss_ratio,tbp.embryo14,tbp.embryo17,tfiib.embryo14,tfiib.embryo17,tfiif.embryo14,tfiif.embryo17,below_bg_tissues,above_bg_tissues,polii_group_tissues,whole_embryo_pol_status,intact_diff_expression
FBgn0261555,CG42673, 0.5 , 24.2 , 42.0 , 37.3 , 33.0 , 65.0 , 46.5 , 29.3 ,5.40,6.15,5.79,4.64,3.36,3.63,3.89,3.44,3.40,3.36,4.64,5.99,4.01,2.72,3.30,3.19,2.91,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0038422,CG14880, 0.1 , 73.3 , 57.5 , 49.3 , 58.7 , 43.4 , 50.5 , 53.8 ,2.95,1.21,0.59,2.16,0.02,2.02,1.32,-0.47,1.13,-0.47,2.16,1.26,-0.63,0.61,0.34,1.61,-0.49,1,4,Recruitment regulated,Above 2-fold,No
FBgn0086604,CG12484, 0.1 , 10.4 , 30.3 , 26.0 , 25.0 , 30.4 , 46.4 , 21.8 ,2.99,5.34,4.67,3.46,3.62,1.01,2.56,3.87,1.31,1.01,3.87,2.77,1.65,0.53,1.56,1.18,1.23,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0037197,CG13239, 0.5 , 189.5 , 39.0 , 41.9 , 35.4 , 43.2 , 23.3 , 141.9 ,-0.64,-3.99,-3.73,-2.44,-1.94,-0.87,-2.75,-0.76,-0.13,-2.75,-0.13,-0.61,-0.76,-0.54,-0.73,-0.85,-0.78,6,0,No Pol II,  Below background,Yes
FBgn0263980,CG43729, 0.1 , 15.6 , 41.3 , 40.6 , 37.0 , 43.2 , 51.1 , 41.7 ,3.95,5.21,5.06,3.38,3.32,1.18,2.38,3.48,0.34,0.34,3.48,4.30,2.65,1.23,2.59,2.07,1.64,0,5,Unclassified,Above 2-fold,No
FBgn0029814,CG15765, 0.1 , 20.3 , 39.8 , 31.3 , 25.0 , 43.5 , 46.3 , 28.4 ,2.54,5.72,5.27,3.03,4.06,1.68,1.52,4.60,0.54,0.54,4.60,3.96,2.05,1.48,3.68,2.33,3.40,0,5,Unclassified,Above 2-fold,Yes
FBgn0035557,CG11353, 0.1 , 40.0 , 40.3 , 54.7 , 42.0 , 27.3 , 45.9 , 44.9 ,1.90,-1.31,-1.46,3.44,-0.41,2.81,1.89,0.95,1.53,-0.41,3.44,2.40,0.18,2.86,1.60,1.18,0.14,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0035845,CG13675, 0.1 , 50.9 , 55.0 , 46.4 , 68.8 , 42.7 , 55.7 , 59.6 ,0.66,-0.47,-1.01,-0.32,-0.38,0.07,0.21,-1.30,-0.80,-1.30,0.21,3.07,0.62,0.38,-0.06,1.07,-0.12,4,0,No Pol II, Low,Yes
FBgn0085376,CG34347, 0.9 , 14.5 , 41.0 , 55.5 , 33.1 , 41.7 , 45.9 , 74.8 ,4.53,5.60,5.32,3.82,3.12,3.18,2.95,3.63,2.59,2.59,3.82,3.90,1.83,1.60,2.89,2.66,2.29,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0033724,CG8501, 0.5 , 31.4 , 39.5 , 15.2 , 18.1 , 42.6 , 5.9 , 16.7 ,-0.47,0.59,0.01,-0.85,-0.93,-0.82,0.81,-0.37,-0.14,-0.93,0.81,-1.23,-0.50,-0.52,0.25,-0.10,0.05,5,0,No Pol II,  Below background,Yes
FBgn0053513,Nmdar2, 0.1 , 11.1 , 34.6 , 29.1 , 27.3 , 32.2 , 45.8 , 30.8 ,2.09,4.92,4.37,-0.42,2.95,0.30,0.96,3.61,0.59,-0.42,3.61,2.26,1.58,-0.38,1.53,-0.13,1.07,1,2,Recruitment regulated,Above 2-fold,Yes
FBgn0037326,CG14669, 0.1 , 10.3 , 31.6 , 26.0 , 26.6 , 29.2 , 45.7 , 31.2 ,1.47,4.41,3.77,1.63,2.37,0.54,0.63,3.31,-0.42,-0.42,3.31,2.86,2.17,-0.68,0.72,0.32,0.05,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0033538,CG11883, 0.3 , 19.3 , 34.5 , 47.6 , 40.2 , 42.3 , 39.9 , 36.8 ,5.52,6.73,6.34,5.39,4.53,4.04,5.09,4.91,3.29,3.29,5.39,5.80,4.73,2.88,3.66,3.76,3.24,0,6,Elongation regulated,Above 2-fold,No
FBgn0261703,gce, 0.1 , 13.0 , 35.0 , 42.3 , 36.8 , 42.2 , 39.3 , 41.2 ,4.38,5.04,4.77,2.74,2.72,3.14,3.94,3.22,2.69,2.69,3.94,4.73,3.37,2.22,2.69,2.73,1.78,0,6,Elongation regulated,Above 2-fold,No
FBgn0035265,CG18173, 0.3 , 27.8 , 18.1 , 20.0 , 63.0 , 12.3 , 45.6 , 83.7 ,2.59,4.58,3.88,-1.57,-0.23,0.43,0.60,-1.05,-0.17,-1.57,0.60,3.12,1.06,1.93,4.06,3.07,3.71,4,0,No Pol II,Above 2-fold,Yes
FBgn0033308,CG8736, 0.4 , 81.4 , 48.5 , 17.9 , 26.4 , 42.0 , 35.6 , 51.0 ,-0.68,-2.07,-2.03,-0.12,-0.24,-0.30,-2.36,-0.47,-0.03,-2.36,-0.03,-1.06,-0.26,-0.29,-0.29,0.58,0.07,6,0,No Pol II,  Below background,Yes
FBgn0031866,Nlg2, 0.1 , 13.1 , 34.7 , 29.8 , 24.7 , 37.0 , 45.6 , 27.9 ,2.86,5.41,4.84,4.22,3.89,2.05,2.19,4.42,0.96,0.96,4.42,2.78,2.75,0.90,1.64,1.51,1.17,0,5,Unclassified,Above 2-fold,Yes
FBgn0000535,eag, 0.6 , 6.1 , 19.0 , 25.5 , 21.0 , 29.1 , 45.5 , 27.9 ,1.80,4.11,3.42,4.04,2.93,0.99,0.57,3.46,1.81,0.57,4.04,2.55,0.32,1.96,1.61,2.48,1.10,0,4,Unclassified,Above 2-fold,Yes
FBgn0039203,CG13618, 0.3 , 123.5 , 90.9 , 39.0 , 118.4 , 37.3 , 45.1 , 80.8 ,3.14,2.37,2.65,2.14,-0.87,1.92,0.15,-1.12,1.57,-1.12,2.14,4.74,0.85,2.63,1.48,3.95,1.87,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0051665,wry, 0.1 , 18.8 , 38.4 , 32.1 , 27.1 , 38.5 , 44.9 , 33.2 ,2.60,5.57,5.00,4.46,3.92,1.78,2.16,4.56,1.33,1.33,4.56,3.44,2.90,0.44,1.86,0.92,1.50,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0034301,CG5756, 0.5 , 25.8 , 48.2 , 71.0 , 20.4 , 34.6 , 44.9 , 35.3 ,2.55,1.61,0.97,4.34,-0.46,3.50,1.29,0.55,0.38,-0.46,4.34,1.27,-0.79,1.01,0.32,0.94,0.46,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0053143,CG33143, 0.1 , 10.4 , 30.7 , 35.5 , 18.8 , 53.7 , 44.4 , 26.5 ,4.34,5.30,4.83,3.36,3.12,0.99,3.87,3.57,1.02,0.99,3.87,3.27,1.20,1.51,1.92,2.31,1.45,0,5,Unclassified,Above 2-fold,Yes
FBgn0034030,CG8192, 0.6 , 51.9 , 58.3 , 45.6 , 33.9 , 42.7 , 44.3 , 79.1 ,3.19,2.63,2.63,4.17,0.18,3.23,0.89,0.39,3.07,0.18,4.17,5.15,2.07,2.35,2.30,3.50,1.41,0,3,Unclassified,Above 2-fold,Yes
FBgn0038818,Nep4, 0.1 , 25.8 , 29.9 , 99.0 , 25.1 , 41.2 , 34.0 , 22.4 ,-0.05,1.13,0.68,-0.80,1.60,0.59,0.77,0.72,0.03,-0.80,1.60,-0.77,-0.52,-0.57,-0.43,-0.65,-0.36,1,1,Recruitment regulated,  Below background,Yes
FBgn0004782,Ccp84Ab, 0.2 , 102.4 , 47.2 , 17.6 , 43.3 , 41.0 , 59.1 , 37.8 ,-0.20,0.34,0.09,-1.29,-2.40,0.05,-0.52,-0.03,-0.85,-2.40,0.05,1.27,0.10,1.35,1.84,2.30,1.32,5,0,No Pol II,  Below background,Yes
FBgn0046874,Pif1B, 0.0 , 22.7 , 33.2 , 29.4 , 30.6 , 41.0 , 30.4 , 21.6 ,3.46,3.86,3.86,3.39,2.17,3.12,3.40,2.39,2.44,2.17,3.40,4.31,1.43,2.77,2.22,3.41,1.46,0,6,Elongation regulated,Above 2-fold,No
FBgn0035090,CG2736, 0.7 , 46.4 , 75.3 , 47.8 , 50.5 , 86.2 , 44.0 , 42.3 ,1.23,2.79,2.09,1.65,-0.31,0.80,3.10,-0.19,-0.27,-0.31,3.10,1.04,0.12,0.81,1.90,1.40,1.51,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0261046,Dscam3, 0.1 , 6.6 , 25.1 , 21.9 , 20.9 , 27.6 , 43.8 , 20.3 ,2.31,4.97,4.33,4.22,3.26,1.27,1.65,4.17,0.62,0.62,4.22,1.25,0.16,0.89,1.90,1.11,1.60,0,5,Unclassified,Above 2-fold,Yes
FBgn0039844,CG1607, 0.7 , 50.1 , 51.9 , 50.3 , 39.6 , 56.5 , 43.3 , 43.5 ,4.28,5.12,5.16,3.63,2.19,3.01,4.46,2.69,2.01,2.01,4.46,3.60,2.57,1.41,2.00,1.93,1.53,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0029681,CG15239, 0.5 , 27.0 , 46.8 , 75.1 , 16.1 , 30.1 , 43.3 , 50.8 ,2.32,2.17,2.60,3.31,0.31,3.11,1.40,0.93,2.64,0.31,3.31,2.76,-0.51,0.63,1.20,2.17,0.63,0,4,Unclassified,Above 2-fold,Yes
FBgn0260964,Vmat, 0.3 , 42.7 , 52.0 , 33.3 , 40.8 , 40.4 , 49.8 , 48.6 ,1.74,1.67,1.46,1.05,0.10,1.11,0.87,1.05,0.81,0.10,1.11,1.80,0.46,1.37,0.20,2.11,0.78,0,3,Unclassified,Above 2-fold,No
FBgn0031322,CG5001, 0.3 , 58.2 , 43.0 , 36.7 , 38.9 , 52.4 , 43.2 , 40.1 ,4.80,5.17,5.26,2.88,-0.04,2.41,3.37,0.02,1.35,-0.04,3.37,5.46,3.47,1.75,2.04,1.72,1.56,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0264606,Fife, 0.2 , 13.5 , 34.9 , 27.0 , 33.0 , 34.5 , 43.1 , 32.2 ,1.95,4.71,4.19,2.53,2.62,0.37,1.24,3.11,-0.15,-0.15,3.11,2.13,1.04,0.01,0.44,-0.11,0.14,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0265185,CG44250, 0.6 , 118.9 , 44.8 , 43.8 , 47.1 , 33.1 , 42.5 , 75.2 ,2.86,3.19,3.17,0.87,-1.17,1.36,2.18,-0.47,0.07,-1.17,2.18,2.72,0.61,2.11,2.82,3.09,2.42,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0031689,Cyp28d1, 1.0 , 78.4 , 32.3 , 39.3 , 49.5 , 38.3 , 42.4 , 53.2 ,2.01,3.50,1.93,0.73,1.00,-0.11,2.16,0.14,-0.50,-0.50,2.16,2.35,0.63,1.61,3.32,2.16,2.13,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0035379,spz5, 0.3 , 42.9 , 57.5 , 50.7 , 41.5 , 34.3 , 42.3 , 53.9 ,3.27,3.24,3.59,3.98,-0.29,3.37,1.86,0.64,2.68,-0.29,3.98,4.26,2.48,1.70,0.78,1.93,0.47,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0060296,pain, 0.3 , 37.6 , 39.4 , 78.6 , 37.4 , 40.0 , 45.2 , 51.6 ,4.80,4.63,4.49,4.93,2.79,4.20,3.90,2.08,3.37,2.08,4.93,3.43,0.53,3.10,3.72,4.49,3.32,0,6,Elongation regulated,Above 2-fold,No
FBgn0052944,CG32944, 0.7 , 11.5 , 35.6 , 29.4 , 24.2 , 29.7 , 42.0 , 30.1 ,2.59,4.79,4.24,3.38,2.93,0.79,1.50,3.76,0.57,0.57,3.76,3.73,3.58,0.64,1.12,0.70,0.52,0,4,Unclassified,Above 2-fold,Yes
FBgn0051374,sals, 0.3 , 30.2 , 51.6 , 48.2 , 41.2 , 78.5 , 41.8 , 35.6 ,4.29,3.24,3.90,-0.68,-0.09,1.19,3.87,-0.46,0.55,-0.68,3.87,4.38,2.55,1.59,1.16,2.10,0.93,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0263081,CG43349, 0.3 , 221.8 , 39.8 , 50.6 , 59.4 , 32.8 , 41.8 , 101.1 ,2.02,4.12,3.90,-1.60,-2.40,-0.48,0.72,-2.66,-1.41,-2.66,0.72,3.14,1.80,2.47,5.11,3.13,4.51,5,0,No Pol II,Above 2-fold,Yes
FBgn0085414,dpr12, 0.1 , 16.6 , 38.8 , 32.1 , 26.3 , 36.4 , 41.7 , 26.9 ,3.20,5.64,5.15,3.60,3.40,1.34,1.52,4.13,0.94,0.94,4.13,3.08,2.16,0.06,1.21,-0.27,0.52,0,5,Unclassified,Above 2-fold,Yes
FBgn0036985,zye, 0.5 , 64.8 , 45.2 , 54.8 , 36.6 , 41.3 , 41.7 , 41.0 ,1.66,-0.52,-1.06,2.63,-0.74,2.24,-0.35,-1.63,-0.70,-1.63,2.63,1.57,-0.81,1.45,0.41,1.39,0.55,4,2,Recruitment regulated,Above 2-fold,Yes
FBgn0040359,CG11380, 0.1 , 66.1 , 60.0 , 59.8 , 30.9 , 36.7 , 41.6 , 40.0 ,2.31,0.10,-0.90,3.28,-1.10,2.76,0.24,-0.60,0.70,-1.10,3.28,2.79,-0.24,1.41,0.22,2.41,0.33,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0036544,sff, 0.4 , 11.7 , 23.0 , 24.1 , 18.2 , 29.8 , 41.5 , 20.7 ,2.35,4.82,4.23,3.99,3.04,1.80,2.09,3.75,1.82,1.80,3.99,4.19,3.67,0.94,1.10,1.51,0.81,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0028496,CG30116, 0.1 , 16.8 , 31.0 , 37.0 , 35.6 , 47.4 , 41.4 , 34.6 ,3.06,4.96,4.33,4.04,4.18,2.74,4.34,4.84,2.66,2.66,4.84,3.90,3.02,1.06,1.47,1.33,0.89,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0028550,Atf3, 0.2 , 18.3 , 36.3 , 39.8 , 33.4 , 38.9 , 42.0 , 46.5 ,3.14,4.18,4.19,1.35,1.83,1.97,1.96,2.24,2.06,1.35,2.24,2.66,-0.46,0.75,0.81,0.77,0.17,0,6,Elongation regulated,Above 2-fold,No
FBgn0035131,mthl9, 0.5 , 37.7 , 34.4 , 35.7 , 38.1 , 38.8 , 41.1 , 51.9 ,5.22,5.21,5.18,3.81,0.82,3.37,4.13,1.02,3.28,0.82,4.13,4.68,2.41,2.53,3.41,3.47,3.07,0,5,Unclassified,Above 2-fold,No
FBgn0031424,VGlut, 0.1 , 28.2 , 40.7 , 32.7 , 30.8 , 38.7 , 59.2 , 34.7 ,0.79,3.68,2.99,2.34,2.73,1.10,-0.02,3.49,0.53,-0.02,3.49,3.51,1.89,1.80,3.58,2.41,2.89,1,4,Recruitment regulated, Low,Yes
FBgn0015039,Cyp9b2, 0.2 , 62.9 , 22.9 , 18.6 , 145.9 , 27.2 , 41.4 , 125.2 ,3.84,5.10,4.37,0.64,0.58,2.64,1.60,0.77,1.19,0.58,2.64,5.12,2.94,3.84,5.54,4.83,5.54,0,3,Unclassified,Above 2-fold,Yes
FBgn0030887,CG6867, 0.1 , 18.1 , 25.3 , 20.7 , 19.8 , 38.6 , 29.2 , 22.9 ,2.98,4.68,4.39,2.96,2.54,0.22,1.92,2.94,0.23,0.22,2.96,4.69,3.49,1.34,0.73,0.86,0.15,0,4,Unclassified,Above 2-fold,No
FBgn0039728,CG7896, 0.3 , 51.5 , 50.5 , 55.6 , 51.3 , 37.7 , 41.4 , 46.2 ,3.83,3.41,3.76,2.97,-0.55,3.62,0.85,-0.73,1.66,-0.73,3.62,3.92,1.67,1.66,1.12,2.13,0.30,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0031571,CG3921, 0.2 , 24.0 , 26.5 , 63.5 , 28.0 , 29.8 , 41.1 , 49.4 ,5.39,5.68,5.66,4.64,2.02,3.58,2.84,2.33,3.00,2.02,4.64,7.31,5.70,2.46,2.89,2.77,2.54,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0030613,Rab3-GEF, 0.6 , 14.1 , 29.2 , 27.5 , 24.8 , 30.7 , 40.5 , 28.2 ,2.36,5.05,4.63,3.99,3.46,2.04,1.65,3.92,1.36,1.36,3.99,3.56,1.46,1.20,3.18,1.98,2.50,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0035711,CG8519, 0.2 , 23.2 , 38.1 , 26.3 , 25.1 , 58.0 , 40.4 , 20.5 ,2.88,2.07,2.78,1.66,-1.20,0.36,3.03,-0.78,0.17,-1.20,3.03,3.26,0.99,0.88,0.19,1.64,0.33,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0032899,CG9338, 0.8 , 145.4 , 64.5 , 50.7 , 32.8 , 52.7 , 40.2 , 36.2 ,3.17,3.70,3.84,3.19,0.36,2.47,1.66,0.47,2.07,0.36,3.19,4.27,0.97,3.32,3.63,4.23,3.27,0,4,Unclassified,Above 2-fold,Yes
FBgn0052082,CG32082, 0.2 , 32.2 , 51.1 , 56.5 , 79.6 , 36.8 , 40.1 , 64.6 ,3.60,4.95,4.77,4.63,2.86,3.89,2.92,3.00,3.23,2.86,4.63,3.93,2.06,3.09,3.59,4.09,2.97,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0038143,CG9813, 0.2 , 10.3 , 26.4 , 21.8 , 18.6 , 22.9 , 40.0 , 22.0 ,1.79,3.33,3.39,3.52,2.92,1.19,1.23,3.45,1.57,1.19,3.52,3.83,2.39,1.54,2.39,1.91,2.15,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0039051,CG17109, 0.4 , 74.4 , 46.2 , 53.7 , 30.9 , 37.9 , 35.9 , 39.0 ,1.84,3.71,3.34,-0.72,-0.31,0.09,-0.39,0.18,-0.27,-0.72,0.18,2.95,1.08,2.03,3.04,3.52,3.70,4,0,No Pol II,Above 2-fold,No
FBgn0015541,sda, 0.6 , 34.1 , 38.4 , 54.1 , 30.5 , 40.3 , 39.9 , 42.3 ,5.44,6.39,6.10,5.17,3.89,4.23,4.91,4.32,3.85,3.85,5.17,4.90,1.77,2.75,3.52,3.20,2.98,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0250757,CG42235, 0.3 , 31.0 , 25.1 , 95.6 , 21.0 , 37.8 , 40.5 , 24.1 ,0.74,1.41,0.98,0.31,-0.48,-0.10,-0.23,-0.12,-1.31,-1.31,0.31,0.07,-0.71,-0.06,0.87,0.76,0.94,5,0,No Pol II, Low,Yes
FBgn0051675,CG31675, 0.3 , 29.6 , 37.1 , 31.7 , 18.6 , 47.6 , 39.5 , 22.6 ,3.06,2.73,3.15,1.69,1.00,1.33,3.33,1.39,1.46,1.00,3.33,3.14,0.53,1.94,1.14,2.21,-0.02,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0259150,CG42265, 0.2 , 17.5 , 30.0 , 31.0 , 24.1 , 35.5 , 39.5 , 24.0 ,1.62,4.61,3.89,3.84,2.86,1.42,1.78,3.75,1.50,1.42,3.84,4.45,4.09,0.91,1.93,1.54,1.52,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0004910,Eip63F-1, 0.4 , 29.3 , 30.2 , 41.5 , 36.1 , 59.5 , 39.4 , 47.1 ,3.18,4.97,4.70,2.90,2.87,0.72,3.27,2.51,0.49,0.49,3.27,2.89,0.92,1.50,2.57,2.00,1.57,0,4,Unclassified,Above 2-fold,Yes
FBgn0052074,CG32074, 0.9 , 25.9 , 30.8 , 45.8 , 30.3 , 37.3 , 75.5 , 8.4 ,-0.81,-0.95,-0.55,-3.58,-1.24,-1.25,-0.35,-0.83,-1.12,-3.58,-0.35,-0.81,-0.24,-0.27,-0.06,0.90,-0.09,6,0,No Pol II,  Below background,No
FBgn0023550,CG18031, 0.2 , 8.5 , 20.1 , 23.0 , 27.6 , 37.2 , 33.3 , 27.0 ,-0.44,-0.28,-0.80,-3.29,-0.59,-0.42,-0.69,-1.23,-1.49,-3.29,-0.42,-1.61,-0.94,-0.23,-0.71,0.00,-0.32,6,0,No Pol II,  Below background,No
FBgn0030775,CG9673, 0.9 , 208.1 , 31.3 , 38.3 , 54.2 , 35.0 , 38.9 , 73.5 ,1.79,3.68,3.14,-4.45,-2.01,-2.42,-0.91,-1.98,-2.01,-4.45,-0.91,2.92,0.95,2.28,4.49,2.51,3.44,6,0,No Pol II,Above 2-fold,Yes
FBgn0043806,CG32032, 0.6 , 68.1 , 55.6 , 119.2 , 26.9 , 45.0 , 38.8 , 27.3 ,2.12,3.30,2.85,1.86,1.50,-0.75,2.62,0.43,0.11,-0.75,2.62,2.53,2.17,0.85,0.94,0.61,0.50,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0024366,CG11409, 0.7 , 26.6 , 43.0 , 44.0 , 44.4 , 29.8 , 38.8 , 55.4 ,3.98,2.99,3.23,4.04,0.33,3.71,2.14,0.80,2.73,0.33,4.04,1.32,-0.31,0.82,0.53,1.34,0.87,0,4,Unclassified,Above 2-fold,Yes
FBgn0034279,CG18635, 0.4 , 18.1 , 13.8 , 6.5 , 10.9 , 5.2 , 38.4 , 20.1 ,1.94,2.99,2.51,-0.31,-0.69,-0.69,0.29,-2.60,-0.16,-2.60,0.29,2.03,0.83,0.55,1.20,1.09,0.63,5,0,No Pol II,Above 2-fold,Yes
FBgn0036382,CG13737, 0.6 , 81.1 , 61.1 , 55.9 , 48.5 , 36.9 , 41.2 , 40.9 ,3.75,2.70,1.96,4.66,-0.15,3.42,1.82,1.27,2.16,-0.15,4.66,3.45,0.13,2.06,1.18,2.85,0.65,1,5,Recruitment regulated,Above 2-fold,No
FBgn0263846,CG43707, 0.0 , 10.3 , 27.9 , 22.3 , 23.9 , 34.7 , 38.4 , 25.1 ,2.39,4.48,3.80,4.08,3.58,1.50,2.32,4.45,0.85,0.85,4.45,3.37,2.47,0.54,1.27,0.81,0.53,0,5,Unclassified,Above 2-fold,Yes
FBgn0086913,Rab26, 0.3 , 12.6 , 33.5 , 26.4 , 21.4 , 29.3 , 37.9 , 25.2 ,1.98,4.14,3.59,3.81,3.20,0.66,1.38,4.27,1.35,0.66,4.27,3.02,3.17,0.89,1.67,1.22,1.39,0,5,Unclassified,Above 2-fold,Yes
FBgn0265597,rad, 0.1 , 7.7 , 26.5 , 24.5 , 25.7 , 29.6 , 37.8 , 28.1 ,2.20,4.80,4.09,3.45,3.04,1.02,0.76,3.72,1.14,0.76,3.72,2.20,0.59,2.56,4.04,2.01,3.20,0,5,Unclassified,Above 2-fold,Yes
FBgn0037565,CG9626, 0.2 , 15.5 , 32.1 , 38.6 , 21.5 , 66.5 , 37.8 , 21.4 ,4.21,3.35,3.62,0.88,0.36,1.07,4.41,0.11,0.30,0.11,4.41,3.57,1.19,2.39,2.36,3.01,2.44,0,2,Unclassified,Above 2-fold,Yes
FBgn0000037,mAChR-A, 0.1 , 11.6 , 29.1 , 22.0 , 18.2 , 28.2 , 37.5 , 23.6 ,1.78,4.83,4.21,3.84,3.16,0.91,0.93,4.10,0.34,0.34,4.10,3.44,3.66,0.78,1.97,1.33,0.81,0,3,Unclassified,Above 2-fold,Yes
FBgn0010399,Nmdar1, 0.1 , 18.1 , 38.4 , 30.8 , 28.5 , 36.4 , 41.8 , 33.2 ,2.85,5.21,4.54,3.95,3.81,1.46,1.94,4.55,0.73,0.73,4.55,3.23,2.05,1.45,1.76,1.72,1.28,0,5,Unclassified,Above 2-fold,No
FBgn0038511,CG5873, 0.3 , 52.7 , 41.1 , 44.2 , 25.0 , 35.1 , 37.5 , 42.6 ,3.18,2.54,2.58,4.82,-0.13,3.62,1.10,0.97,3.31,-0.13,4.82,3.27,0.29,2.28,2.19,2.84,1.57,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0038700,CG3734, 0.3 , 62.5 , 15.6 , 37.0 , 41.4 , 25.3 , 37.5 , 61.8 ,1.55,2.96,2.37,-2.04,-0.24,0.25,-0.62,0.26,-0.80,-2.04,0.26,1.96,0.32,1.39,2.41,1.97,2.69,4,0,No Pol II,Above 2-fold,Yes
FBgn0005564,Shal, 0.9 , 20.4 , 34.9 , 28.4 , 23.3 , 40.7 , 37.5 , 27.0 ,3.20,5.00,4.36,4.63,4.06,2.47,3.69,4.82,1.63,1.63,4.82,3.21,1.43,0.84,1.81,1.69,0.88,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0250815,Jon65Aiv, 0.7 , 711.4 , 61.0 , 36.8 , 144.8 , 35.9 , 34.9 , 81.3 ,-0.64,1.55,2.62,-6.84,-1.17,-1.68,-0.67,-1.44,-2.87,-6.84,-0.67,1.73,0.82,0.83,2.70,1.73,1.78,6,0,No Pol II,  Below background,Yes
FBgn0033848,CG13330, 0.2 , 30.9 , 39.1 , 26.2 , 18.9 , 35.7 , 45.0 , 44.8 ,-1.46,-1.76,-1.66,0.16,0.01,-1.34,0.02,0.84,0.58,-1.34,0.84,-3.18,-1.02,-0.14,-0.35,-0.24,-0.34,1,0,No Pol II,  Below background,Yes
FBgn0030161,CG15249, 0.2 , 70.3 , 49.5 , 42.7 , 51.5 , 30.2 , 37.1 , 65.1 ,1.05,-1.18,-2.50,1.14,-0.49,1.01,0.40,-0.98,0.91,-0.98,1.14,1.84,-0.21,1.66,0.12,2.28,-0.21,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0041707,7B2, 0.2 , 39.6 , 47.0 , 27.2 , 26.1 , 32.8 , 37.0 , 25.3 ,1.50,3.50,2.90,2.48,1.81,-0.01,-0.27,2.66,0.66,-0.27,2.66,2.07,0.45,1.05,1.81,2.10,1.49,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0039530,Tusp, 0.3 , 19.8 , 41.8 , 29.8 , 33.0 , 45.4 , 36.9 , 30.8 ,3.96,5.52,4.91,3.35,3.00,1.21,3.45,3.53,0.90,0.90,3.53,3.37,1.09,1.75,2.81,2.06,1.63,0,5,Unclassified,Above 2-fold,Yes
FBgn0259927,CG42450, 0.7 , 14.3 , 24.9 , 24.2 , 21.5 , 31.9 , 36.8 , 23.6 ,2.88,4.68,4.28,2.98,2.95,1.19,1.83,3.49,1.27,1.19,3.49,4.86,3.43,1.37,2.23,2.12,1.97,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0035665,Jon65Aiii, 0.5 , 342.2 , 43.7 , 35.3 , 49.2 , 35.1 , 21.9 , 44.9 ,-0.79,1.42,2.97,-3.97,-1.65,-2.45,-2.26,-0.79,-2.42,-3.97,-0.79,1.44,0.58,0.40,3.10,1.58,2.53,6,0,No Pol II,  Below background,Yes
FBgn0035777,CG8563, 0.4 , 91.8 , 60.5 , 50.9 , 74.3 , 35.9 , 36.7 , 46.6 ,2.65,2.36,3.04,2.99,-0.59,3.04,-0.32,-1.05,0.03,-1.05,3.04,2.36,-0.19,2.69,1.83,2.99,0.42,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0036289,CG10657, 0.2 , 62.4 , 50.5 , 57.4 , 38.8 , 34.9 , 33.9 , 57.6 ,4.72,4.57,4.75,5.01,1.24,4.30,4.07,1.24,3.28,1.24,5.01,5.31,2.13,3.18,2.04,3.79,1.45,0,6,Elongation regulated,Above 2-fold,No
