fb_gene_id,fb_symbol, early_FPKM , late_FPKM , epidermis_FPKM , glia_FPKM , gut_FPKM , muscle_FPKM , neuron_FPKM , trachea_FPKM ,polii.embryo14,polii.embryo17,polii.larvae,polii.epidermis,polii.glia,polii.gut,polii.muscle,polii.neuron,polii.trachea,min_tissue_tss_ratio,max_tissue_tss_ratio,tbp.embryo14,tbp.embryo17,tfiib.embryo14,tfiib.embryo17,tfiif.embryo14,tfiif.embryo17,below_bg_tissues,above_bg_tissues,polii_group_tissues,whole_embryo_pol_status,intact_diff_expression
FBgn0004780,Ccp84Ad, 0.6 , 680.5 , 262.7 , 114.9 , 178.5 , 199.8 , 250.5 , 162.3 ,-0.43,-1.11,-2.10,0.61,-1.28,1.57,0.17,0.24,-0.40,-1.28,1.57,1.79,0.30,1.22,0.94,1.84,1.52,2,1,Recruitment regulated,  Below background,Yes
FBgn0011722,Tig, 0.7 , 141.7 , 323.2 , 319.3 , 193.3 , 566.1 , 190.8 , 157.1 ,3.83,4.48,4.14,3.14,2.56,2.89,4.63,1.10,1.57,1.10,4.63,4.93,2.06,2.78,4.32,3.76,4.10,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0033658,TwdlBeta, 0.8 , 813.8 , 244.5 , 159.9 , 166.0 , 182.7 , 85.6 , 664.0 ,0.08,-1.76,-3.18,-12.76,-1.49,-1.59,-0.31,-1.45,1.60,-12.76,1.60,0.90,-0.56,0.70,0.07,1.31,-0.21,5,1,Recruitment regulated, Low,Yes
FBgn0004781,Ccp84Ac, 0.4 , 314.7 , 211.4 , 192.2 , 98.7 , 180.9 , 235.4 , 141.8 ,-0.17,-2.40,-2.88,2.54,-0.35,0.32,0.72,0.71,0.47,-0.35,2.54,-0.80,-0.27,0.35,0.14,1.39,0.72,1,1,Recruitment regulated,  Below background,Yes
FBgn0266377,Pde8, 0.9 , 50.9 , 155.6 , 198.7 , 182.3 , 216.7 , 189.0 , 344.7 ,5.02,5.70,5.25,4.63,2.98,3.55,4.05,3.57,3.24,2.98,4.63,6.85,5.26,2.00,3.35,2.42,2.87,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0037225,TwdlG, 0.7 , 408.8 , 250.1 , 293.3 , 141.3 , 210.4 , 180.5 , 167.1 ,1.43,-0.22,-0.42,2.41,-0.31,1.50,1.35,0.26,1.24,-0.31,2.41,2.90,-0.03,2.47,2.02,2.53,1.12,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0259246,brp, 0.2 , 33.9 , 113.0 , 115.3 , 88.7 , 142.1 , 177.0 , 102.2 ,3.45,6.04,5.48,4.80,4.14,2.04,1.67,5.02,1.55,1.55,5.02,4.32,2.72,1.55,3.41,2.63,4.53,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0039469,TwdlC, 0.7 , 671.5 , 187.3 , 170.3 , 162.7 , 158.0 , 168.0 , 166.0 ,0.85,-1.75,-1.74,-0.14,-1.07,0.65,-2.14,-0.35,-0.25,-2.14,0.65,0.84,-0.47,0.76,-0.02,1.41,-0.40,5,0,No Pol II, Low,No
FBgn0003065,CG2150, 1.0 , 403.1 , 200.4 , 217.0 , 147.6 , 139.1 , 163.5 , 182.7 ,1.73,-1.22,-1.42,2.62,-0.40,2.34,0.80,-0.06,0.47,-0.40,2.62,2.19,0.23,1.05,0.15,1.46,0.22,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0034159,CG15615, 0.3 , 175.4 , 192.4 , 186.6 , 160.4 , 152.1 , 218.8 , 479.6 ,0.85,-2.14,-2.42,2.68,-0.11,2.51,0.62,-0.40,1.39,-0.40,2.68,2.43,0.54,0.57,0.58,1.17,0.22,2,3,Recruitment regulated, Low,Yes
FBgn0250833,CG34461, 0.5 , 252.5 , 215.6 , 170.7 , 113.5 , 151.6 , 316.8 , 191.0 ,-0.28,-3.58,-3.97,0.74,-0.99,-0.94,-1.52,-0.38,-1.48,-1.52,0.74,-0.90,-0.53,-1.00,-0.42,-0.29,-0.73,5,0,No Pol II,  Below background,Yes
FBgn0051140,CG31140, 0.3 , 63.8 , 130.8 , 110.1 , 93.0 , 150.9 , 158.3 , 106.2 ,3.64,4.47,4.23,2.78,2.63,0.84,2.97,3.43,1.36,0.84,3.43,3.04,1.44,-0.18,0.76,0.11,-0.02,0,5,Unclassified,Above 2-fold,Yes
FBgn0037534,CG2781, 0.6 , 214.6 , 192.2 , 202.9 , 113.9 , 121.4 , 157.8 , 125.4 ,3.87,3.74,3.96,3.52,0.25,3.53,2.70,-0.16,1.69,-0.16,3.53,4.66,1.53,3.14,4.80,3.98,2.59,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0262717,Skeletor, 0.6 , 120.7 , 202.9 , 190.8 , 262.1 , 127.9 , 147.7 , 165.0 ,4.16,3.36,3.40,5.25,0.59,4.18,2.50,0.78,3.14,0.59,5.25,4.10,1.24,2.08,1.54,2.61,1.17,0,4,Unclassified,Above 2-fold,Yes
FBgn0033464,CG1441, 0.6 , 407.1 , 249.4 , 167.5 , 233.7 , 132.3 , 137.6 , 148.5 ,3.61,3.17,3.40,4.31,-0.28,3.64,2.39,0.24,0.99,-0.28,4.31,4.03,0.63,3.21,2.42,3.51,1.69,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0035511,Cpr64Ab, 0.8 , 510.8 , 236.0 , 151.8 , 117.5 , 148.7 , 97.2 , 577.4 ,0.31,-1.91,-1.82,-1.88,-1.64,-0.87,-2.36,-0.97,1.95,-2.36,1.95,-0.86,-0.07,0.09,-0.82,0.89,-0.16,5,1,Recruitment regulated, Low,Yes
FBgn0260955,CG42587, 1.0 , 357.9 , 161.1 , 73.7 , 66.4 , 148.5 , 21.8 , 86.7 ,-0.44,-1.73,-2.26,-0.30,-0.07,0.70,1.84,-0.22,-0.09,-0.30,1.84,0.07,-0.16,0.53,1.00,1.64,1.23,4,1,Recruitment regulated,  Below background,Yes
FBgn0034499,Cpr56F, 0.9 , 485.8 , 164.6 , 164.4 , 144.9 , 146.5 , 126.2 , 143.8 ,1.30,1.04,0.44,0.64,-0.26,0.99,0.11,0.04,-0.09,-0.26,0.99,2.47,0.38,1.71,2.00,3.34,1.86,2,0,No Pol II,Above 2-fold,No
FBgn0038291,CG3984, 0.7 , 22.1 , 22.2 , 85.7 , 109.2 , 99.2 , 134.2 , 179.6 ,1.74,2.14,1.91,0.71,-0.44,0.28,3.65,-0.43,0.41,-0.44,3.65,1.52,-0.24,0.39,1.21,0.71,1.16,2,1,Recruitment regulated,Above 2-fold,Yes
FBgn0037410,Osi2, 0.3 , 177.4 , 148.1 , 145.6 , 197.3 , 87.6 , 133.0 , 218.1 ,2.50,0.95,0.19,3.98,-0.09,3.71,1.49,0.90,1.93,-0.09,3.98,2.67,0.00,1.35,0.92,1.98,1.07,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0034974,CG16786, 0.3 , 88.8 , 135.0 , 152.4 , 120.2 , 95.3 , 132.8 , 181.0 ,1.86,0.82,0.93,3.04,-0.66,2.12,0.45,-0.03,1.46,-0.66,3.04,1.99,-0.10,0.52,0.25,0.72,0.38,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0029761,SK, 0.5 , 21.1 , 77.9 , 101.7 , 70.4 , 112.0 , 132.4 , 81.3 ,4.81,5.60,5.18,4.54,3.40,3.55,3.87,4.15,2.80,2.80,4.54,5.99,4.31,1.94,3.29,2.37,2.40,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0005638,slbo, 0.3 , 72.2 , 129.6 , 208.5 , 81.5 , 204.5 , 129.9 , 149.9 ,5.02,4.04,2.30,4.16,0.92,3.76,3.97,0.70,3.08,0.70,4.16,4.81,1.78,3.34,2.66,3.33,2.61,0,4,Unclassified,Above 2-fold,Yes
FBgn0037146,CG7470, 0.7 , 82.9 , 150.5 , 135.3 , 132.8 , 136.0 , 106.3 , 136.6 ,3.23,5.17,4.41,2.10,0.23,0.80,3.62,0.04,1.40,0.04,3.62,3.35,2.31,1.53,3.37,2.17,3.09,0,3,Unclassified,Above 2-fold,No
FBgn0086758,chinmo, 0.7 , 83.1 , 133.3 , 171.2 , 114.3 , 135.5 , 172.3 , 158.4 ,5.90,6.81,6.20,4.03,3.83,3.86,4.98,4.05,3.25,3.25,4.98,5.70,4.34,2.66,3.38,3.48,2.83,0,6,Elongation regulated,Above 2-fold,No
FBgn0265356,tn, 0.2 , 88.0 , 129.0 , 116.1 , 70.1 , 218.6 , 129.5 , 75.3 ,3.18,1.70,2.86,-0.06,-0.32,-0.01,2.03,-0.45,-0.39,-0.45,2.03,2.86,0.23,1.60,1.79,2.85,1.67,5,1,Recruitment regulated,Above 2-fold,Yes
FBgn0263132,Cht6, 0.8 , 62.3 , 142.3 , 155.1 , 119.0 , 88.7 , 125.4 , 146.0 ,3.45,2.89,2.98,3.19,0.42,3.39,1.52,1.24,2.08,0.42,3.39,3.32,0.06,1.75,1.24,2.26,0.79,0,5,Unclassified,Above 2-fold,Yes
FBgn0035844,CG13676, 0.3 , 92.5 , 141.1 , 156.6 , 135.3 , 103.5 , 124.6 , 197.4 ,4.22,3.33,4.12,4.45,0.17,3.58,2.37,0.44,2.93,0.17,4.45,3.42,0.32,1.55,0.98,2.34,0.93,0,4,Unclassified,Above 2-fold,Yes
FBgn0035398,Cht7, 0.7 , 196.7 , 176.4 , 169.8 , 158.3 , 137.3 , 123.0 , 196.3 ,3.62,2.80,2.78,3.63,-0.82,3.28,1.16,0.79,2.65,-0.82,3.63,3.30,0.14,2.41,1.98,3.26,1.53,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0033128,Tsp42Eg, 0.4 , 185.1 , 139.8 , 90.0 , 99.9 , 201.6 , 122.2 , 125.8 ,4.86,5.00,4.75,3.73,1.87,3.80,2.92,1.35,2.76,1.35,3.80,5.00,1.47,3.73,3.18,4.72,3.16,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0261262,CG42613, 0.7 , 33.2 , 78.9 , 123.7 , 54.1 , 104.0 , 121.4 , 63.9 ,2.95,4.71,4.26,2.22,2.90,1.16,1.97,3.42,0.71,0.71,3.42,3.46,2.29,0.90,2.22,1.02,1.90,0,5,Unclassified,Above 2-fold,Yes
FBgn0032075,Tsp29Fb, 0.9 , 306.5 , 90.2 , 109.9 , 125.3 , 87.5 , 120.2 , 216.7 ,3.25,4.39,3.75,0.41,0.05,1.48,0.79,-0.85,0.96,-0.85,1.48,3.98,3.28,2.13,3.63,2.45,3.26,1,1,Recruitment regulated,Above 2-fold,Yes
FBgn0261534,l(2)34Fc, 0.7 , 605.4 , 204.0 , 155.1 , 201.5 , 112.5 , 117.8 , 145.9 ,2.77,1.59,2.60,3.31,-0.07,3.46,1.48,-0.17,1.78,-0.17,3.46,4.60,1.02,4.38,4.78,4.76,2.93,2,4,Recruitment regulated,Above 2-fold,Yes
FBgn0260660,Mp, 0.2 , 42.9 , 116.1 , 128.3 , 84.4 , 123.2 , 124.0 , 100.6 ,5.54,6.07,5.89,3.51,3.12,3.57,4.59,3.83,3.26,3.12,4.59,4.46,1.99,3.29,2.27,2.25,1.74,0,6,Elongation regulated,Above 2-fold,No
FBgn0046875,Obp83g, 0.8 , 404.3 , 220.6 , 143.4 , 152.3 , 97.4 , 117.7 , 128.4 ,2.49,1.86,2.98,2.09,-1.74,2.43,-0.41,-0.94,0.01,-1.74,2.43,2.51,0.33,1.98,1.69,1.97,0.27,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0033307,CG14752, 0.6 , 716.6 , 171.0 , 158.9 , 145.5 , 120.0 , 125.8 , 618.2 ,0.97,-2.21,-2.49,0.42,0.04,1.06,-3.71,-0.45,1.47,-3.71,1.47,0.80,-0.24,-0.47,-0.36,0.29,-0.54,2,2,Recruitment regulated, Low,Yes
FBgn0037429,Osi19, 0.7 , 178.6 , 176.1 , 161.8 , 51.0 , 116.7 , 90.5 , 352.5 ,-0.02,-2.57,-1.71,-2.56,-0.70,-0.29,-3.01,-0.47,2.32,-3.01,2.32,0.09,-0.88,-0.05,-0.33,0.28,-0.44,5,1,Recruitment regulated,  Below background,Yes
FBgn0052405,Cpr65Av, 0.5 , 558.1 , 188.6 , 66.7 , 115.1 , 116.0 , 100.8 , 150.2 ,0.60,-0.54,-1.42,-0.09,-1.12,0.34,-2.05,-1.36,-0.23,-2.05,0.34,1.77,-0.13,1.60,0.33,2.83,1.39,5,0,No Pol II, Low,Yes
FBgn0085446,CG34417, 1.0 , 80.1 , 88.7 , 111.1 , 76.2 , 154.8 , 115.3 , 73.5 ,4.07,4.56,4.84,3.57,1.33,3.48,3.41,1.26,2.53,1.26,3.57,3.36,1.22,4.17,3.72,3.99,3.28,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0024963,GluClalpha, 0.3 , 19.9 , 73.4 , 62.8 , 56.6 , 80.5 , 114.9 , 67.3 ,2.69,5.08,4.40,3.94,3.51,1.65,1.13,4.23,1.26,1.13,4.23,4.21,3.84,0.53,1.67,0.43,0.80,0,6,Elongation regulated,Above 2-fold,Yes
FBgn0038734,CG11453, 0.2 , 81.6 , 63.2 , 64.5 , 120.4 , 57.6 , 112.6 , 281.4 ,3.97,5.00,4.34,-0.18,-0.24,1.63,2.28,-0.71,-0.43,-0.71,2.28,2.80,0.40,1.25,2.25,2.34,2.05,4,2,Recruitment regulated,Above 2-fold,Yes
FBgn0030052,CG12065, 0.6 , 63.1 , 94.0 , 89.4 , 102.2 , 109.8 , 94.6 , 98.1 ,4.61,5.33,4.89,3.54,2.97,2.77,3.18,2.93,2.90,2.77,3.54,5.10,1.35,3.52,3.19,4.33,2.97,0,6,Elongation regulated,Above 2-fold,No
FBgn0037227,TwdlV, 0.3 , 343.9 , 142.2 , 138.7 , 130.9 , 107.6 , 75.3 , 87.9 ,-0.12,-3.41,-1.89,-4.60,-0.76,0.49,0.74,-0.97,-0.67,-4.60,0.74,-0.18,0.03,-0.11,-0.19,1.44,0.35,4,0,No Pol II,  Below background,Yes
FBgn0028542,NimB4, 0.1 , 59.0 , 90.2 , 40.7 , 42.1 , 106.3 , 28.3 , 37.2 ,-0.48,0.72,-0.33,-1.41,-2.53,-1.90,1.35,-1.74,-0.63,-2.53,1.35,0.39,0.51,-0.05,1.45,0.73,0.58,5,1,Recruitment regulated,  Below background,Yes
FBgn0051233,CG31233, 0.5 , 208.0 , 51.0 , 65.3 , 126.3 , 66.4 , 111.3 , 148.8 ,2.36,3.97,3.23,0.07,-1.46,-0.09,1.18,-1.34,-0.38,-1.46,1.18,3.41,1.29,1.95,4.18,3.10,3.17,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0031734,CG11147, 0.1 , 51.3 , 109.3 , 129.9 , 89.4 , 76.8 , 111.2 , 195.6 ,3.31,2.26,2.44,2.76,-0.50,3.30,0.99,0.00,1.89,-0.50,3.30,2.44,-0.58,0.55,0.44,1.25,0.23,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0034143,CG8303, 0.4 , 223.9 , 166.2 , 136.3 , 183.5 , 103.3 , 110.7 , 142.5 ,3.90,3.63,4.12,3.71,0.31,2.84,1.99,-0.09,2.65,-0.09,3.71,4.62,1.79,2.38,1.43,3.41,1.26,1,4,Recruitment regulated,Above 2-fold,Yes
FBgn0030541,CG11584, 1.0 , 577.5 , 154.6 , 176.9 , 184.9 , 129.1 , 110.3 , 144.3 ,1.18,-1.82,-3.07,2.20,-0.84,2.25,0.54,-0.43,-0.36,-0.84,2.25,2.11,-0.52,1.47,0.16,2.79,0.42,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0259822,Ca-beta, 0.2 , 21.9 , 54.6 , 57.9 , 37.8 , 99.3 , 110.1 , 48.9 ,3.03,4.13,3.45,2.23,1.85,0.04,2.06,2.39,0.83,0.04,2.39,2.71,1.34,0.99,0.97,1.52,0.68,0,4,Unclassified,Above 2-fold,Yes
