flybase_gene_id,flybase_symbol,poised.toll10b_02to04h,poised.mef2_06to08h,poised.mef2_08to10h,poised.mef2_10to12h,poised.mef2_14to17h,PcG_repressed.toll10b_02to04h,PcG_repressed.mef2_06to08h,PcG_repressed.mef2_08to10h,PcG_repressed.mef2_10to12h,PcG_repressed.mef2_14to17h,PcG_repressed.elav_14to17h,Poised_opening_set,Poised_constant_set,Poised_closing_set,Poised_regulated_set,Non_poised_regulated_set,Differential_K27_muscle,Differential_k27_neuron,Balanced_toll10b
FBgn0000163,baz,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000166,bcd,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0
FBgn0000171,bel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000173,ben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000179,bi,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000180,bib,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000181,bic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000182,BicC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000183,BicD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000206,boss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000210,br,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000212,brm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000221,brn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000227,Bsg25A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000228,Bsg25D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000229,bsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000233,btd,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000239,bur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000241,bw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000242,Bx,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000244,by,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000246,c(3)G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000247,ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000250,cact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000251,cad,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000253,Cam,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000256,capu,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000257,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000258,CkIIalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000259,CkIIbeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000261,Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000273,Pka-C1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000274,Pka-C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000283,Cp190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000286,Cf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000287,salr,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
FBgn0000289,cg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000299,Cg25C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000303,Cha,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000307,chif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000308,chic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
