condition,factor,bw,color
epidermis,polii,../bw/rpm/Epidermis_7021_INTACT_Rpb3_14-17h_2_rpm.bw,"""#664917"""
glia,polii,../bw/rpm/Glia_repo_INTACT_Rpb3_14-17h_1_rpm.bw,"""#664917"""
gut,polii,../bw/rpm/Gut_110394_INTACT_Rpb3_14-17h_1_rpm.bw,"""#664917"""
muscle,polii,../bw/rpm/Muscle_mef2_INTACT_Rpb3_14-17h_1_rpm.bw,"""#664917"""
neuron,polii,../bw/rpm/Neuron_elav_INTACT_Rpb3_14-17h_1_rpm.bw,"""#664917"""
trachea,polii,../bw/rpm/Trachea_8807_INTACT_Rpb3_14-17h_2_rpm.bw,"""#664917"""
