"","group_name","gene","expression.in.ht","ng.freq.in.ht","var.in.ht","mean_exp_ht","ng.freq.in.ot","total_expression","mean_exp_ot"
"1815","Bjoern_developmental_paused","mdy",0.869109317286055,0.968176254589963,0.621894922987581,0.851748334214905,0.252863861087664,692.394559590199,0.0806726828532058
"1816","Bjoern_developmental_paused","mei-W68",0.144159919502329,0.0949720670391061,1.72667521284966,0.0608334152821657,0.00139459981591282,3.30620719215376,0.00737439088232674
"1817","Bjoern_developmental_paused","Mekk1",0.222242221916912,0.364942528735632,1.99976046980711,0.0827125921205962,0.100392682110134,31.0397493421614,0.0805871900235551
"1818","Bjoern_developmental_paused","melt",0.273129458780485,0.626712328767123,1.0155489774041,0.112600550038164,0.00805749510648865,54.336727442997,0.01267541092609
"1819","Bjoern_developmental_paused","MESR3",0.502358106073653,0.271428571428571,1.97428338382241,0.886376717858922,0.245193892123476,13.4536468366833,0.107433226127547
"1820","Bjoern_developmental_paused","metro",0.183544951282769,0.0660954712362301,2.67394762110856,0.105528123169062,0.105386691702852,13.3290794107372,0.0683147325396368
"1821","Bjoern_developmental_paused","mfrn",0.15418127705673,0.251673360107095,1.65940093869759,0.047665044016883,0.0870363569592361,34.4275915214367,0.114199165725177
"1822","Bjoern_developmental_paused","MFS17",1.08261783076055,1,0.489491177771399,1.21183080343385,0.649419609780193,23.332651796357,0.296334006207443
"1823","Bjoern_developmental_paused","Mgat2",0.536655991817307,0.85140562248996,0.82598961115554,0.367576566277819,0.324023001995071,355.462336728806,0.0285082220726654
"1824","Bjoern_developmental_paused","mgl",0.714364165856836,0.80053547523427,0.993499790396611,0.790394072180635,0.474115238373793,471.12768586091,0.0433894895519536
"1825","Bjoern_developmental_paused","Mical",0.335161276806362,0.752342704149933,1.1600744445825,0.163085259808522,0.648351648351648,204.029076147677,0.0258460515667519
"1826","Bjoern_developmental_paused","Mid1",1.64466670136941,0.890227576974565,0.464575763243464,2.64503133215554,0.088158019689152,1041.57160928925,0.177698183224531
"1827","Bjoern_developmental_paused","mino",0.349400841428276,0.725826193390453,0.951234400974677,0.179592468063746,0.0600497555117097,228.964129354884,0.0108036115282898
"1828","Bjoern_developmental_paused","mirr",1.53877474112726,0.803212851405622,0.779824754497507,2.77324056457784,0.187364881095364,904.793218587174,0.176863986933563
"1829","Bjoern_developmental_paused","Mkp3",1.15238340128747,0.979452054794521,0.898658111615457,1.76289780054746,0.847936990960351,346.666457257272,0.559477744361499
"1830","Bjoern_developmental_paused","mmy",0.802139121862775,0.910958904109589,1.26844478867383,1.40138889791574,0.558071459319845,263.346231238849,0.234577928495532
"1831","Bjoern_developmental_paused","mnb",1.61406230435444,0.998661311914324,0.454564825728916,2.68547097549749,0.572937448656261,1197.03158715863,0.262758268651491
"1832","Bjoern_developmental_paused","Mnt",0.687577424567419,0.908969210174029,0.773130696878013,0.557174563016834,0.845437171524128,469.739348249552,0.0426194230267781
"1833","Bjoern_developmental_paused","Mob2",1.28236381997143,0.994413407821229,0.527531114744479,1.65830519591715,0.568190039792596,220.305846186958,0.384955655698685
"1834","Bjoern_developmental_paused","morgue",0.265495263707584,0.64524765729585,1.06646108658123,0.12016735514743,0.307110257026183,148.266082850186,0.055799398643496
"1835","Bjoern_developmental_paused","mrt",0.354786944995338,0.757697456492637,0.986655768109636,0.173946493910692,0.0848770844625833,213.876523336287,0.0292033138569586
"1836","Bjoern_developmental_paused","msi",2.3938484769542,0.982597054886212,0.43951145798098,5.68821188347193,0.532489249880554,1688.76155721833,0.170123691353553
"1837","Bjoern_developmental_paused","mspo",1.14495626034,0.78021978021978,1.07570329149839,3.77823451249991,0.381487274278402,114.114211699015,0.0880715186247893
"1838","Bjoern_developmental_paused","mtDNA-helicase",0.231640035172573,0.541003671970624,1.18188470033346,0.0896555352648595,0.0585780552154645,116.282722340535,0.01823307779333
"1839","Bjoern_developmental_paused","mthl1",0.519557783186706,0.893835616438356,1.15356100186549,0.435864468083762,0.113477781858245,150.139367699143,0.0916028054663368
"1840","Bjoern_developmental_paused","mthl5",0.372252259017154,0.362637362637363,1.59179716099317,0.287018781409558,0.0629965947786606,14.7118381372753,0.00593416574413955
"1841","Bjoern_developmental_paused","mura",1.04671957888722,0.951807228915663,0.557837327474919,1.12144549245917,0.819353208691258,717.020181759882,0.154586593645628
"1842","Bjoern_developmental_paused","myo",0.652585321164416,0.912087912087912,1.07458218686011,0.69027999937345,0.46826376883181,61.6464677490877,0.160429689192581
"1843","Bjoern_developmental_paused","Myo31DF",0.369892843448287,0.659340659340659,1.45006099759787,0.54939417919635,0.510272336359293,34.3051713499902,0.0344571571490616
"1844","Bjoern_developmental_paused","MYPT-75D",0.47230032475434,0.728246318607764,1.12138904415205,0.356844821540924,0.0820413951339208,285.197500443145,0.0800162751893345
"1845","Bjoern_developmental_paused","N",1.8483299211601,0.993150684931507,0.611240123756073,3.68841764348105,0.383477082403077,524.327959618445,0.132135818493638
"1846","Bjoern_developmental_paused","nab",0.201543171930198,0.210174029451138,1.93145627140032,0.125179434109156,0.00217208232346054,42.4161748169309,0.0410425335957201
"1847","Bjoern_developmental_paused","nAChRbeta2",0.864398102041627,0.784471218206158,0.808804175222025,0.893479947730179,0.0818952910207663,503.964980585056,0.0244149985453626
"1848","Bjoern_developmental_paused","NaCP60E",0.688631810341194,0.884872824631861,0.794371971944286,0.57468020520085,0.21274501029267,461.373178619438,0.0501670127844676
"1849","Bjoern_developmental_paused","nahoda",3.26207305642369,1,0.214580164024406,10.4672200248976,0.355367066393682,749.075647177009,0.0406392955824929
"1850","Bjoern_developmental_paused","Nbr",0.244984338327868,0.559571619812584,1.12992057985122,0.094395512268058,0.342854639446246,112.772310802398,0.0582913219243358
"1851","Bjoern_developmental_paused","Ncc69",0.375262504256744,0.683453237410072,0.988807228644534,0.238422978633466,0.0472548484020759,42.1040740633542,0.0154133037133165
"1852","Bjoern_developmental_paused","nej",1.07035688031241,0.981258366800535,0.602504226854545,1.23094860979038,0.585063742136614,773.981636107706,0.176380554860954
"1853","Bjoern_developmental_paused","neo",0.25455048713357,0.0410958904109589,2.43091092656298,0.588563914405159,0.000620556353072828,5.65792323272045,0.013495213817827
"1854","Bjoern_developmental_paused","nerfin-1",0.425760029606412,0.487282463186078,1.55198607936185,0.599556247044028,0.0307604994324631,219.96855253382,0.0032596408753667
